time,tx,ty,tz,rx,ry,rz,rw
1539699451,0.77705258131,1.66149759293,0.107038356364,0.00236170459539,-0.00363755039871,0.875632584095,0.482958376408
1539699452,0.691115796566,1.80380856991,0.107300266623,0.002329074312,-0.00237169163302,0.922073602676,0.38700056076
1539699453,0.584686934948,1.90762293339,0.107432216406,0.00223648361862,-0.000519024382811,0.988587141037,0.150632590055
1539699454,0.445839196444,1.9491776228,0.1069400087,0.00336451176554,0.00256423070095,0.995926082134,-0.0900745913386
1539699455,0.29569670558,1.91256892681,0.106904953718,0.00566471228376,0.00148664938752,0.946768939495,-0.321860998869
1539699456,0.167726308107,1.80597758293,0.107480145991,0.00284048565663,0.000906747300178,0.939029693604,-0.343823194504
1539699457,0.041869930923,1.69742941856,0.107527136803,0.00526589527726,0.000885035376996,0.908874094486,-0.417036324739
1539699458,-0.0671973899007,1.57146632671,0.107561036944,0.00579890143126,0.000794827297796,0.879742503166,-0.475414425135
1539699459,-0.15194824338,1.42869031429,0.108661338687,0.0067424424924,0.00184002018068,0.792029798031,-0.610442519188
1539699460,-0.192544341087,1.2674831152,0.109364643693,0.00361156999134,0.00208888831548,0.741934895515,-0.670458912849
1539699461,-0.208938285708,1.1218829155,0.109207481146,0.00323991454206,0.00155596574768,0.561195015907,-0.827675879002
1539699462,-0.173341095448,1.00361514091,0.108846493065,-0.000164809680427,0.00126798870042,0.212652474642,-0.977127075195
1539699463,-0.102285653353,0.945407032967,0.108824059367,-0.00131276680622,0.00465085916221,-0.318350791931,-0.947960674763
1539699464,-0.018767286092,0.99798232317,0.108783364296,-0.00138485210482,0.00404474558309,-0.696786105633,-0.717266261578
1539699465,-0.0274904835969,1.15514814854,0.109105750918,-0.00278968340717,0.00193723384291,-0.772315561771,-0.635229885578
1539699466,-0.0571930408478,1.32021391392,0.108726553619,-0.00230056978762,0.000332761206664,-0.744747698307,-0.667342066765
1539699467,-0.0733820348978,1.48624539375,0.108085669577,-0.00265398179181,0.00190593255684,-0.690219700336,-0.723592638969
1539699468,-0.0662807822227,1.64759218693,0.10766364634,-0.00286382972263,0.00256124231964,-0.607669591904,-0.794180631638
1539699469,-0.0346251577139,1.78306281567,0.107291504741,-0.000800157082267,0.000851245422382,-0.377982825041,-0.925811886787
1539699470,0.0447716899216,1.86376833916,0.10703651607,0.00130754872225,0.00225806958042,-0.0813663825393,-0.996680796146
1539699471,0.209039211273,1.87475240231,0.107249751687,0.0021081531886,0.00344726885669,-0.0696837007999,-0.997560918331
1539699472,0.36730581522,1.90187108517,0.106929168105,0.00265015289187,0.00135108153336,-0.289989590645,-0.957025170326
1539699473,0.487778812647,1.98287367821,0.1070003286,0.00100623758044,0.00601554801688,-0.541244864464,-0.84084290266
1539699474,0.534823358059,2.10513734818,0.107146769762,-0.00049554934958,0.00372827821411,-0.768037199974,-0.640394151211
1539699475,0.502341926098,2.26576709747,0.107115387917,-0.000512536731549,0.00181512476411,-0.850633263588,-0.525756120682
1539699476,0.422429323196,2.40877556801,0.105713456869,-0.00394416972995,-0.000376319134375,-0.894851446152,-0.446346580982
1539699477,0.326354652643,2.53025174141,0.105702660978,0.000296806480037,0.00134837755468,-0.828306853771,-0.560273110867
1539699478,0.274478197098,2.67263412476,0.105978317559,0.000553474994376,0.00599526893348,-0.682385027409,-0.730968236923
1539699479,0.289112925529,2.82066488266,0.105622649193,-0.000431879248936,0.000633270887192,-0.484416365623,-0.874837219715
1539699480,0.334297090769,2.90725469589,0.0976853147149,0.00558893894777,-0.0348594523966,-0.286273032427,-0.957497417927
1539699481,0.355061799288,2.92319893837,0.107100464404,-0.00855634827167,0.00329873128794,-0.224249705672,-0.974488556385
1539699483,0.763250112534,2.84833478928,0.106765896082,0.000522262242157,0.00548827461898,0.285953074694,-0.958227753639
1539699484,0.898622453213,2.76384353638,0.106664612889,2.56291641563e-05,0.000997886410914,0.0623069554567,-0.998056590557
1539699485,1.05484235287,2.76047301292,0.106465913355,0.00190099398606,0.000345628883224,-0.000381283112802,-0.999998092651
1539699486,1.1798542738,2.76257562637,0.106359511614,0.00315109780058,0.00264005246572,0.305326074362,-0.95223903656
1539699487,1.27604353428,2.69670796394,0.107860587537,0.00266105192713,0.00896687898785,0.564680218697,-0.825256705284
1539699488,1.32655382156,2.61024546623,0.108054764569,0.00216382555664,0.000885050685611,0.797417342663,-0.603423595428
1539699489,1.30019366741,2.5063688755,0.105976566672,0.00541729945689,-0.0107228104025,0.960615575314,-0.277620971203
1539699490,1.17700719833,2.43954014778,0.107171490788,0.00231522531249,0.0016509447014,0.998768389225,-0.0495360456407
1539699491,1.01304960251,2.43596458435,0.107082642615,0.00283527979627,0.00239387736656,0.999572753906,-0.0289924349636
1539699492,0.857007741928,2.42540025711,0.105732433498,0.00592907052487,0.00371990003623,0.977498829365,-0.210824787617
1539699493,0.717542111874,2.35937428474,0.1066262573,0.00608376506716,0.00384001247585,0.905530333519,-0.42422068119
1539699494,0.623795926571,2.22498750687,0.107119970024,0.00447899987921,0.00378111726604,0.859516978264,-0.511073589325
1539699495,0.540730297565,2.07864713669,0.107556857169,-0.00064532313263,0.00325574795716,0.910093903542,-0.414388924837
1539699496,0.430154442787,1.96102690697,0.107406511903,0.00251559494063,0.00232763378881,0.966108202934,-0.258114784956
1539699497,0.288394927979,1.88850235939,0.107112005353,0.00412328215316,-1.21674365801e-05,0.986117959023,-0.165995329618
1539699498,0.145419448614,1.83454489708,0.107685044408,0.00375220901333,0.00279501313344,0.918253302574,-0.395965993404
1539699499,0.042455945164,1.70942389965,0.107786171138,0.00477802660316,0.00261695752852,0.830905854702,-0.556386470795
1539699500,-0.0163835752755,1.55438768864,0.107796497643,0.00530107086524,0.00224224873818,0.765978634357,-0.642840266228
1539699501,-0.0394781380892,1.38965785503,0.108478702605,0.00584346801043,0.00340525526553,0.711747586727,-0.702402830124
1539699502,-0.0517840720713,1.22821640968,0.109339952469,0.00574306305498,0.00294813932851,0.804519236088,-0.593891501427
1539699503,-0.107772670686,1.08621156216,0.109329380095,0.00237699714489,0.00158030318562,0.693331003189,-0.720613658428
1539699504,-0.10932598263,0.972547590733,0.109004490077,0.000367228960386,0.0039256257005,0.380317866802,-0.92484742403
1539699505,-0.0149486642331,0.888187646866,0.10894677788,0.000490734062623,0.00424336642027,0.0715426504612,-0.997428357601
1539699506,0.142997652292,0.871528148651,0.108954682946,-0.00175390031654,0.00254498748109,-0.147486016154,-0.989059269428
1539699507,0.299486786127,0.924223423004,0.10844682157,-0.000830440490972,0.00247830012813,-0.199489936233,-0.979896426201
